date | value
2021-01-01 | 10
2020-05-15 | 100.5
2019-08-20 | 300
2021-11-10 | 0.5
2020-03-25 | 50.75
2018-07-11 | 200
2017-12-25 | 50.1
2022-13-01 | 20
2023-02-30 | 5.5
2019-02-31 | 10
2015-04-31 | 99
2020-06-32 | 100
2021-15-10 | 0.25
2022-04-00 | 1.75
2021-09-31 | 50.5
2021-12-00 | 5
2023-00-00 | 100
2019-13-10 | 200
2018-09-31 | 50
2021-11-32 | 10
2021-06-00 | 150
2020-02-30 | 75
2019-09-31 | 250
2022-04-31 | 99
2021-02-29 | 1.5
2017-02-31 | 200
2016-09-31 | 0.5
2023-06-00 | 300
2021-09-00 | 500
2022-15-20 | 1
2018-06-40 | 0.25
2017-11-31 | 50.5
2022-14-11 | 5
2019-03-32 | 150
2020-04-31 | 1
2021-00-12 | 75
2021-07-32 | 10
2023-02-29 | 200
2019-05-00 | 500
2020-11-31 | 1
2016-06-31 | 99.99
2018-09-30 | 2
2017-12-31 | 400
2019-10-15 | 1000
2020-12-15 | 50.5
2021-06-01 | 75
2022-05-10 | 200
2023-04-01 | 1.75
2024-13-01 | 9
2015-11-31 | 60
2021-03-32 | 100
2022-12-00 | 0.99
2020-08-32 | 200.25
